year,Mic,BuzzFeed News,FiveThirtyEight,The New York Times,The Guardian,ProPublica
2009,0.0,0.0,0.0,0.0,0.0,2.0
2010,0.0,0.0,0.0,5.0,9.0,8.0
2011,0.0,0.0,0.0,5.0,15.0,4.0
2012,0.0,0.0,0.0,3.0,29.0,4.0
2013,0.0,0.0,0.0,6.0,65.0,4.0
2014,46.0,11.0,2.0,11.0,130.0,4.0
2015,25.0,17.0,1.0,37.0,190.0,1.0
2016,46.0,29.0,6.0,29.0,221.0,6.0
2017,7.0,18.0,1.0,29.0,236.0,8.0
2018,3.0,17.0,2.0,12.0,210.0,9.0
2019,0.0,10.0,3.0,9.0,200.0,7.0
2020,0.0,8.0,3.0,3.0,190.0,1.0
2021,0.0,3.0,4.0,6.0,136.0,1.0
2022,0.0,2.0,1.0,6.0,127.0,2.0
2023,0.0,0.0,0.0,3.0,93.0,0.0
2024,0.0,0.0,0.0,0.0,47.0,0.0
2025,0.0,0.0,0.0,2.0,24.0,2.0
